日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/01/02,7381334,611742781,83.8,83.8,82.5,82.8,-0.4,4304
109/01/03,11206834,917638679,83.8,83.8,80.8,81.8,-1.0,5403
109/01/06,15008274,1184292769,80.8,80.8,78.2,78.7,-3.1,7060
109/01/07,8119366,637414380,79.0,79.4,78.0,78.7,0.0,3636
109/01/08,8384294,652886493,78.0,78.6,77.4,77.4,-1.3,4337
109/01/09,9771414,778269259,78.8,80.3,78.3,79.8,2.4,4673
109/01/10,5780955,458116302,80.0,80.3,78.7,79.6,-0.2,3319
109/01/13,7143559,571017086,79.9,80.7,79.3,80.7,1.1,3159
109/01/14,7691161,623212589,81.0,81.4,80.7,81.2,0.5,3875
109/01/15,8096612,658259732,81.5,82.2,80.9,81.1,-0.1,3713
109/01/16,10366247,821612815,80.0,80.0,78.7,79.3,-1.8,5431
109/01/17,8246547,652202105,79.4,79.7,78.6,79.3,0.0,3404
109/01/20,5678179,449028041,79.7,79.7,78.9,79.0,-0.3,2635
109/01/30,17419693,1303661864,77.0,77.1,73.6,74.1,-4.9,7520
109/01/31,11150348,828531737,73.7,75.0,73.6,74.6,0.5,5365
109/02/03,25164563,1817741453,72.8,73.0,70.9,72.8,-1.8,8579
109/02/04,11487904,842933004,72.0,74.5,72.0,73.7,0.9,4190
109/02/05,10396521,778573375,74.1,75.7,73.7,74.8,1.1,5423
109/02/06,10110570,780811362,75.5,78.1,75.5,77.9,3.1,4565
109/02/07,10288433,773416203,75.3,75.9,74.6,74.8,-3.1,4887
109/02/10,10454750,778285036,73.3,75.2,73.1,74.9,0.1,4538
109/02/11,7238632,551187033,75.2,76.6,75.2,76.2,1.3,3466
109/02/12,11489747,893418717,76.5,78.5,76.5,77.5,1.3,5623
109/02/13,5902461,458461310,77.6,78.4,77.4,77.5,0.0,2988
109/02/14,5193063,401717747,77.2,77.9,77.0,77.4,-0.1,2268
109/02/17,3146653,241138861,76.4,77.0,76.2,76.7,-0.7,1855
109/02/18,13861219,1045498422,76.0,76.3,74.9,75.6,-1.1,4904
109/02/19,8606956,658992530,74.7,77.9,74.7,76.4,0.8,3905
109/02/20,4447323,337996101,77.4,77.4,75.3,75.6,-0.8,2367
109/02/21,3462318,261397592,75.2,76.1,75.1,75.2,-0.4,1967
109/02/24,8906650,660388217,74.0,75.0,73.6,73.9,-1.3,4086
109/02/25,8066451,595475965,73.1,74.5,72.9,73.5,-0.4,4224
109/02/26,10070670,733646624,72.3,73.5,72.3,72.8,-0.7,4987
109/02/27,15272886,1096641732,72.4,72.7,71.3,71.3,-1.5,4406
109/03/02,11854795,831868179,69.0,71.2,69.0,70.1,-1.2,5287
109/03/03,12997366,938739134,71.0,72.9,71.0,72.5,2.4,5300
109/03/04,5401197,390499342,71.9,72.7,71.8,72.5,0.0,2561
109/03/05,8593073,630003448,73.0,73.9,72.2,73.6,1.1,4016
109/03/06,8366556,598314057,72.6,72.7,71.1,71.5,-2.1,4096
109/03/09,14316092,990338527,69.1,69.8,68.3,68.9,-2.6,5871
109/03/10,10227702,693521067,67.4,68.8,66.6,68.0,-0.9,4762
109/03/11,10755001,735752647,68.2,69.3,67.3,67.3,-0.7,4969
109/03/12,20674114,1315205782,66.7,66.7,61.9,62.7,-4.6,9022
109/03/13,25759738,1526693676,61.6,61.6,57.4,61.0,-1.7,9644
109/03/16,18705449,1122436610,60.5,61.0,59.3,59.3,-1.7,7183
109/03/17,18659225,1079958450,56.4,59.3,56.1,57.7,-1.6,6703
109/03/18,16818524,952401002,57.4,57.6,55.5,55.5,-2.2,6482
109/03/19,26286247,1331509146,53.0,53.3,49.95,50.2,-5.3,10280
109/03/20,29118488,1548968108,51.0,54.5,51.0,54.2,4.0,11964
109/03/23,13606722,696843120,50.8,52.0,50.5,51.0,-3.2,7232
109/03/24,12069975,654750021,52.1,55.1,52.1,54.3,3.3,5616
109/03/25,16201712,954074275,56.9,59.7,56.5,58.9,4.6,8192
109/03/26,14965462,892612795,61.0,61.0,58.1,59.8,0.9,5619
109/03/27,12558792,757031105,61.1,61.9,59.2,59.8,0.0,5682
109/03/30,11957676,705993808,57.5,60.3,57.0,59.2,-0.6,4945
109/03/31,12423676,732119110,60.2,60.8,58.0,58.6,-0.6,5140
109/04/01,7873333,452858310,58.1,58.3,57.0,57.2,-1.4,3716
109/04/06,10854175,629785608,58.8,58.9,56.9,58.8,1.6,5778
109/04/07,12625275,768850073,59.8,61.7,59.6,61.7,2.9,6204
109/04/08,9766755,606638862,61.8,62.7,61.3,62.0,0.3,5339
109/04/09,8241205,516889791,62.1,63.3,62.0,62.2,0.2,4128
109/04/10,10010313,616543106,62.2,62.6,61.0,61.5,-0.7,4310
109/04/13,4241615,263009942,61.0,62.4,61.0,62.0,0.5,2488
109/04/14,12603316,817917840,62.7,66.4,62.3,65.0,3.0,6006
109/04/15,11597097,762534409,66.0,66.3,65.0,65.5,0.5,5539
109/04/16,7627650,496494795,65.3,65.9,64.6,64.7,-0.8,3380
109/04/17,16882757,1119975203,66.0,67.6,65.6,66.8,2.1,6838
109/04/20,10488858,686814308,66.2,66.3,64.7,65.5,-1.3,4752
109/04/21,9641505,615582921,64.7,65.1,63.1,63.1,-2.4,4858
109/04/22,10070177,626996556,62.2,63.4,61.2,62.6,-0.5,4827
109/04/23,8164287,515129642,62.8,63.9,62.3,63.3,0.7,4100
109/04/24,3456917,218524841,62.7,63.7,62.5,63.1,-0.2,1358
109/04/27,8751829,569991431,64.0,65.7,63.8,65.3,2.2,3894
109/04/28,5950472,385193158,65.3,65.5,64.2,64.8,-0.5,2573
109/04/29,4864725,318554823,65.0,66.0,64.8,65.3,0.5,2396
109/04/30,11778763,785136613,65.9,67.5,65.7,67.1,1.8,5296
109/05/04,14482850,927124514,63.1,65.0,63.1,64.4,-2.7,6384
109/05/05,8474433,552420545,64.6,65.7,64.6,65.0,0.6,4679
109/05/06,13182731,853544181,64.6,65.4,64.0,64.4,-0.6,5834
109/05/07,8343473,552163295,65.0,66.8,64.6,66.2,1.8,4639
109/05/08,6710812,454203564,67.0,68.4,67.0,67.6,1.4,3367
109/05/11,6928000,476977473,69.0,69.3,68.4,68.9,1.3,3594
109/05/12,7010713,477053333,67.8,68.8,67.5,68.1,-0.8,3476
109/05/13,6986851,471597468,66.6,68.3,66.6,68.0,-0.1,3397
109/05/14,8139890,544629144,67.1,68.0,66.5,66.5,-1.5,3794
109/05/15,4163160,276099613,67.6,67.6,65.3,66.4,-0.1,2310
109/05/18,15781774,1001398462,65.2,65.3,62.5,62.6,-3.8,10011
109/05/19,11905690,743258839,64.2,64.3,61.5,62.2,-0.4,6866
109/05/20,11055536,680474532,61.8,62.7,61.0,61.7,-0.5,5646
109/05/21,19529996,1218132948,62.4,63.3,61.7,63.0,1.3,6986
109/05/22,10516294,649003703,62.4,62.4,61.2,61.3,-1.7,4762
109/05/25,9468227,577006450,61.3,61.8,60.1,61.1,-0.2,3846
109/05/26,9475074,582762532,61.3,62.3,60.8,61.4,0.3,4295
109/05/27,11281945,691113204,61.6,61.9,60.9,61.0,-0.4,4425
109/05/28,7231552,444086476,61.6,61.9,60.9,61.3,0.3,3209
109/05/29,27554174,1701721688,60.5,62.5,60.5,61.8,0.5,3536
109/06/01,7814028,489983626,62.6,63.0,62.4,62.8,1.0,3894
109/06/02,7591468,479890994,63.0,63.6,62.8,63.5,0.7,4169
109/06/03,19835616,1309787404,64.9,67.1,64.7,66.5,3.0,9792
109/06/04,7425114,495603864,67.3,67.5,66.0,66.8,0.3,3619
109/06/05,13734861,933889500,66.7,68.4,66.2,68.2,1.4,5533
109/06/08,13370237,909385816,68.5,68.9,67.2,68.0,-0.2,5497
